train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps
0.0003,-17.243656158447266,0.019930435344576836,0.22836951911449432,226.31779324,-4.277572154998779,10931,109099,546,200.0,9,109200
0.0003,-16.286785125732422,0.01978803239762783,0.23015034198760986,226.57180953,4.361443042755127,10951,109299,547,200.0,9,109400
0.0003,-15.934866905212402,0.019712360575795174,0.7331365346908569,226.47180945,0.7713706493377686,10971,109499,548,200.0,9,109600
0.0003,-15.857904434204102,0.019858021289110184,0.28890085220336914,226.54565492,1.789499044418335,10991,109699,549,200.0,9,109800
0.0003,-15.940313339233398,0.01997460052371025,0.29112333059310913,226.9875343,-0.6003769040107727,11011,109899,550,200.0,9,110000
0.0003,-15.942885398864746,0.019845038652420044,0.42190903425216675,227.43439256999997,-0.18051952123641968,11031,110099,551,200.0,9,110200
0.0003,-16.508970260620117,0.01973552629351616,0.568955659866333,227.38768134999998,0.5522076487541199,11051,110299,552,200.0,9,110400
0.0003,-15.614328384399414,0.01972765102982521,0.3767350912094116,227.38834550000004,0.6584316492080688,11071,110499,553,200.0,9,110600
0.0003,-16.796201705932617,0.01961766742169857,0.9725494384765625,227.63881877,-2.6135878562927246,11091,110699,554,200.0,9,110800
0.0003,-16.60123634338379,0.019485333934426308,0.27634626626968384,228.10574952,0.8754251003265381,11111,110899,555,200.0,9,111000
0.0003,-16.600004196166992,0.019662020727992058,0.3265000581741333,228.19618079999998,-0.9331343770027161,11131,111099,556,200.0,9,111200
0.0003,-16.46237564086914,0.019716840237379074,0.2294127643108368,228.27193524999998,5.486921310424805,11151,111299,557,200.0,9,111400
0.0003,-16.78873634338379,0.019733719527721405,0.26323360204696655,228.39088755999998,1.313201904296875,11172,111499,558,200.0,9,111600
0.0003,-16.361785888671875,0.019892556592822075,0.2782409191131592,228.52347347000003,-3.093367576599121,11192,111699,559,200.0,9,111800
0.0003,-16.37636375427246,0.019777141511440277,0.34746283292770386,228.52399357,-2.6870107650756836,11212,111899,560,200.0,9,112000
0.0003,-16.459510803222656,0.01968381181359291,1.0376025438308716,228.45794442000002,1.4339776039123535,11232,112099,561,200.0,9,112200
0.0003,-16.80539321899414,0.019582269713282585,0.24601450562477112,228.46771569,-0.6882532835006714,11252,112299,562,200.0,9,112400
0.0003,-16.245712280273438,0.01957564987242222,1.08580482006073,228.46562802000005,2.392404079437256,11272,112499,563,200.0,9,112600
0.0003,-16.544252395629883,0.019412793219089508,0.5706491470336914,228.53382031,-1.9492918252944946,11292,112699,564,200.0,9,112800
0.0003,-15.909975051879883,0.019580425694584846,0.9631897211074829,228.58000418000003,-0.04006126523017883,11312,112899,565,200.0,9,113000
0.0003,-16.30504608154297,0.019734801724553108,0.28715288639068604,228.54288157,2.111737012863159,11332,113099,566,200.0,9,113200
0.0003,-16.371477127075195,0.01983284018933773,0.6115824580192566,228.59870852000003,-3.049910068511963,11352,113299,567,200.0,9,113400
0.0003,-16.340232849121094,0.019870080053806305,0.9859309196472168,228.87384927000002,-0.5546649694442749,11372,113499,568,200.0,9,113600
0.0003,-16.430397033691406,0.019784508273005486,0.2922833561897278,229.10275861000002,-1.2450233697891235,11392,113699,569,200.0,9,113800
0.0003,-16.627655029296875,0.019860247150063515,0.5157016515731812,229.19687427,3.5268259048461914,11412,113899,570,200.0,9,114000
0.0003,-17.228906631469727,0.019873278215527534,0.2685801386833191,229.25892581999997,-0.902265191078186,11432,114099,571,200.0,9,114200
0.0003,-16.129610061645508,0.019802317023277283,0.3586961030960083,231.90712670999997,0.5788730382919312,11452,114299,572,200.0,9,114400
0.0003,-16.49382209777832,0.019678283482789993,0.5183514356613159,234.85699206999993,-0.8810861110687256,11472,114499,573,200.0,9,114600
0.0003,-17.117351531982422,0.01965704746544361,0.3533397912979126,234.84829582999996,2.332149028778076,11492,114699,574,200.0,9,114800
0.0003,-17.14983367919922,0.019903577864170074,0.26262158155441284,234.76764726,-1.3031120300292969,11512,114899,575,200.0,9,115000
0.0003,-16.433141708374023,0.01965329796075821,0.5585016012191772,237.81629241000002,0.9833606481552124,11532,115099,576,200.0,9,115200
0.0003,-17.16050148010254,0.019677581265568733,0.2859875559806824,237.75195433000002,-2.3878331184387207,11552,115299,577,200.0,9,115400
0.0003,-16.78595542907715,0.019572000950574875,0.563644528388977,240.63369932,-0.8139040470123291,11572,115499,578,200.0,9,115600
0.0003,-16.707077026367188,0.019673949107527733,0.2824813723564148,243.40461475000004,1.1099939346313477,11592,115699,579,200.0,9,115800
0.0003,-16.35546112060547,0.019714128226041794,0.9420009851455688,246.38749742000005,1.6407071352005005,11612,115899,580,200.0,9,116000
0.0003,-16.691024780273438,0.019914617761969566,0.3090571165084839,248.92550849,1.8373315334320068,11632,116099,581,200.0,9,116200
0.0003,-16.432756423950195,0.019808437675237656,0.24102044105529785,251.8455832,2.2923221588134766,11652,116299,582,200.0,9,116400
0.0003,-16.77688217163086,0.01984366774559021,0.5609591603279114,254.52591823000003,-1.0083870887756348,11672,116499,583,200.0,9,116600
0.0003,-17.00493621826172,0.019995855167508125,0.5037869215011597,257.21836881,0.25539931654930115,11692,116699,584,200.0,9,116800
