train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss
0.0003,30200,0.010672276839613914,3023,200.0,0.22500434517860413,-2.36175537109375,30099,74.10907373,151,9,-4.19639778137207
0.0003,30400,0.010773329995572567,3043,200.0,0.19563844799995422,2.0360219478607178,30299,74.93355019,152,9,-4.496647357940674
0.0003,30600,0.010885130614042282,3063,200.0,0.3361418843269348,-2.6482248306274414,30499,76.12014744999999,153,9,-4.198200702667236
0.0003,30800,0.01074368879199028,3083,200.0,0.21390578150749207,-0.20052531361579895,30699,77.82222345,154,9,-4.675766944885254
0.0003,31000,0.010742710903286934,3103,200.0,0.28680485486984253,-0.4376363754272461,30899,80.59387989,155,9,-4.56731653213501
0.0003,31200,0.010839855298399925,3123,200.0,0.19162985682487488,1.9741815328598022,31099,81.73089739,156,9,-4.7160563468933105
0.0003,31400,0.010922367684543133,3143,200.0,0.24833890795707703,-4.581271171569824,31299,83.58559909999998,157,9,-4.393581390380859
0.0003,31600,0.010880859568715096,3163,200.0,0.22093044221401215,-4.825741291046143,31499,84.92152418999999,158,9,-4.738686561584473
0.0003,31800,0.010909443721175194,3183,200.0,0.19156229496002197,-2.7846179008483887,31699,86.82599997,159,9,-4.624216556549072
0.0003,32000,0.010982567444443703,3203,200.0,0.25678551197052,-0.04453766345977783,31899,88.53567628999997,160,9,-4.479471683502197
0.0003,32200,0.011104918085038662,3223,200.0,0.30496710538864136,-5.723487377166748,32099,90.10223535999998,161,9,-4.835278511047363
0.0003,32400,0.011012411676347256,3243,200.0,0.20637990534305573,4.894117832183838,32299,92.48035399999999,162,9,-5.086208343505859
0.0003,32600,0.010989545844495296,3263,200.0,0.2870314121246338,3.9890716075897217,32499,94.75808471999999,163,9,-5.053666114807129
0.0003,32800,0.011226742528378963,3283,200.0,0.2198762744665146,-0.11069047451019287,32699,96.97834080000001,164,9,-5.035312175750732
0.0003,33000,0.011315884068608284,3303,200.0,0.22151914238929749,-1.5865808725357056,32899,99.22833255000002,165,9,-5.301902770996094
0.0003,33200,0.01140965148806572,3323,200.0,0.21427282691001892,0.24107232689857483,33099,101.55037878999998,166,9,-5.163991928100586
0.0003,33400,0.011455394327640533,3343,200.0,0.17563951015472412,-0.4013400673866272,33299,103.12155892999999,167,9,-5.131038188934326
0.0003,33600,0.011521004140377045,3363,200.0,0.2575499415397644,-2.525491237640381,33499,105.21900397000002,168,9,-4.9105119705200195
0.0003,33800,0.011546561494469643,3383,200.0,0.22252219915390015,-1.1568145751953125,33699,108.34532587000001,169,9,-5.115521430969238
